"impactS","impact2S","ReversibleS","EasyLoseS","mcheckS","ReversibleB","ImpactB","ImpactfulB","EasyLose","mcchekB","sex","attcheck","country","race","educat","age_1","eduyrs_1","job","feedback","software_DO_EarlyNegativeS","Basketball_DO_EarlyNegativeB","software_DO_FinalPositiveS","Basketball_DO_FinalPositiveB","software_DO_EarlyPositiveS","Basketball_DO_EarlyPositiveB","software_DO_FinalNegativeS","Basketball_DO_FinalNegativeB","filter_$","Timing","Outcome change","IMPACT_B","IMPACT_S","REVERSIBILITY_B","REVERSIBILITY_S"
1,7,5,6,,5,1,1,7,,2,2,1,1,3,35.0,14.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.0,4.0,6.0,5.5
3,3,2,3,,5,3,3,6,,2,2,1,1,2,38.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,3.0,5.5,2.5
5,5,5,5,,6,5,5,6,,1,2,1,1,2,33.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,5.0,6.0,5.0
7,7,7,4,,1,7,7,1,,2,2,1,2,2,22.0,16.0,1,"Interesting survey kindly invite me for more",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",7.0,7.0,1.0,5.5
3,2,3,3,,4,5,5,5,,2,2,1,2,4,20.0,12.0,4,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,2.5,4.5,3.0
6,7,7,6,,7,1,1,7,,2,2,1,1,4,25.0,12.0,4,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",1.0,6.5,7.0,6.5
5,5,4,4,,4,3,3,5,,1,2,1,1,2,38.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.0,5.0,4.5,4.0
5,6,4,3,,7,1,1,1,,1,2,1,3,2,22.0,15.0,4,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",1.0,5.5,4.0,3.5
3,5,5,6,,6,4,4,5,,2,2,1,1,4,57.0,12.0,1,"

 Doing great if I had had a fatal heart attack! lol",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.0,4.0,5.5,5.5
2,2,3,4,,5,2,3,5,,1,2,1,1,1,26.0,19.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",2.5,2.0,5.0,3.5
4,3,6,4,,5,1,3,5,,2,2,1,1,2,35.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",2.0,3.5,5.0,5.0
2,2,5,5,,7,1,2,7,,1,2,1,1,2,51.0,17.0,1,"None.",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",1.5,2.0,7.0,5.0
4,4,6,5,,5,4,3,6,,2,2,1,1,2,28.0,14.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.5,4.0,5.5,5.5
1,1,4,4,,3,3,3,4,,2,2,1,1,2,23.0,16.0,4,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,1.0,3.5,4.0
5,5,3,4,,3,4,4,4,,2,2,1,1,2,40.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.0,5.0,3.5,3.5
5,5,6,6,,4,4,5,4,,1,2,1,1,1,42.0,12.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.5,5.0,4.0,6.0
6,6,6,5,,5,5,5,5,,2,2,1,1,3,28.0,13.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",5.0,6.0,5.0,5.5
