condition	stimulus	Min	Max	Crossover	Slope	exitflag	R	LS	AR	N	status
VisNew	peace	0.0279491778569388	0.833333325063006	713.656802844049	0.00162914193162342	2010	0.990119841991936	0.00218532381933678	0.991501163525241	326	1
VisNew	peach	3.07720720849058e-07	0.869984608142862	694.346679062373	0.00246675497722214	2010	0.999524815607736	0.000131567450974042	0.899857189257679	326	1
VisNew	peak	2.43193691012999e-05	0.879628144426807	792.515290875019	0.00138749334754541	2010	0.99675520288559	0.000708605067844712	0.977862332754755	326	1
VisNew	peas	2.16425125043607e-08	0.916666514574259	589.509692502051	0.00205114236739122	2010	0.997404397853122	0.000736934421696415	0.97885906389035	326	1
VisNew	pig	1.81252690076295e-05	0.853681315451759	564.271988216381	0.00219403195402904	2010	0.999060128086176	0.000271222998006857	0.934308087296617	326	1
VisNew	pit	1.5562097743782e-07	0.819267287313704	609.197767071037	0.00207310457451513	2010	0.999252979388312	0.000181171952002819	0.906641510768699	326	1
VisNew	plane	0.00635459787637788	0.840033851973904	728.912825682256	0.00193634023843385	2010	0.998531875914687	0.000336086947347233	0.956469495123255	326	1
VisNew	plate	0.00440997147109567	0.818123647481678	594.500182309869	0.00292936755659116	2010	0.999033670635765	0.000249829149060565	0.933174207062451	326	1
VisNew	plug	0.0116090796467341	0.907407394022409	722.604018366995	0.0019392478054522	2010	0.997279296282339	0.000785586434927121	0.979524958731368	326	1
VisNew	plum	0.00626743279596798	0.796294903309166	625.259391093537	0.00247447939880371	2010	0.998648084256234	0.000319056759636246	0.95766773591666	326	1
VisNew	race	0.0243098921025824	0.870370232889944	706.576014969613	0.00202828699358584	2010	0.994154279315226	0.00144658797585064	0.987951701136693	326	1
